,PLAYER,TEAM,POSITION,COST,OWNERSHIP %,PREDICTED_POINTS,Sentiment_Score,POSITIVITY
0,Salah,LIV,MID,13.2,51.6,10.58909090909091,0.09994014823560275,positive
1,Son,TOT,MID,9.6,37.0,9.616363636363635,0.243103448275862,positive
2,Watkins,AVL,FWD,8.5,40.2,8.89090909090909,-0.012268924768924773,negative
3,Saka,ARS,MID,9.0,58.5,8.525454545454545,0.09994014823560275,positive
4,Bowen,WHU,MID,7.7,21.2,7.470454545454545,,neutral
5,Gordon,NEW,MID,6.2,24.7,7.180000000000001,-0.012268924768924773,negative
6,J.Alvarez,MCI,FWD,6.9,29.2,7.030454545454545,,neutral
7,Solanke,BOU,FWD,6.6,9.9,6.544545454545454,-0.012268924768924773,negative
8,Alexander-Arnold,LIV,DEF,8.2,14.8,6.476919191919193,,neutral
9,Foden,MCI,MID,7.6,11.5,6.357212121212123,,neutral
10,Sterling,CHE,MID,7.1,11.6,6.283031286894922,,neutral
11,Ødegaard,ARS,MID,8.3,14.7,6.097439393939394,,neutral
12,Gross,BHA,MID,6.4,3.1,6.090242424242424,,neutral
13,Ward-Prowse,WHU,MID,6.1,9.7,6.015712121212122,,neutral
14,Diaby,AVL,MID,6.7,10.7,5.926250000000001,,neutral
15,Leno,FUL,GKP,4.7,16.1,5.924545454545455,,neutral
16,Saliba,ARS,DEF,5.5,35.4,5.900795454545454,,neutral
17,McGinn,AVL,MID,5.5,1.3,5.869030303030304,,neutral
18,Szoboszlai,LIV,MID,7.1,6.4,5.782820247933885,,neutral
19,Bernardo,MCI,MID,6.4,3.4,5.711610389610389,,neutral
20,Kulusevski,TOT,MID,7.0,2.8,5.696837662337662,,neutral
21,Mitoma,BHA,MID,6.5,22.8,5.646839826839827,,neutral
22,Andersen,CRY,DEF,5.0,19.7,2.1,,neutral
23,Pedro Porro,TOT,DEF,5.4,16.6,5.591467532467532,-0.012268924768924773,negative
24,A.Becker,LIV,GKP,5.6,10.2,5.517994949494949,,neutral
25,White,ARS,DEF,5.6,11.3,5.51291810966811,,neutral
26,Isak,NEW,FWD,7.6,16.1,5.512272727272727,,neutral
27,Palmer,CHE,MID,5.5,18.8,5.501536796536796,,neutral
28,Darwin,LIV,FWD,7.6,17.1,5.4950909090909095,,neutral
29,Zinchenko,ARS,DEF,5.2,12.9,5.457978715728716,,neutral
30,Willian,FUL,MID,5.3,1.1,5.432470680834317,,neutral
31,Sanchez,CHE,GKP,4.7,8.3,5.292818709068709,,neutral
32,Neto,BOU,GKP,4.5,2.4,5.2787050727050735,,neutral
33,N.Jackson,CHE,FWD,6.9,6.2,5.252442949207656,,neutral
34,Romero,TOT,DEF,4.9,10.2,5.182957792207792,,neutral
35,Jensen,BRE,MID,5.4,1.2,5.172387612387612,,neutral
36,Martinez,AVL,GKP,5.0,9.3,5.146520007770008,,neutral
37,Onana,MUN,GKP,4.8,15.2,5.14155303030303,,neutral
38,Andreas,FUL,MID,5.3,1.1,5.118936215299851,,neutral
39,McTominay,MUN,MID,4.9,2.5,5.101745739109376,,neutral
40,Pau,AVL,DEF,4.7,5.9,5.078507813636156,,neutral
41,Dalot,MUN,DEF,5.1,4.6,4.984387390387391,,neutral
42,Souček,WHU,MID,4.9,1.9,4.93092461905296,,neutral
43,Wissa,BRE,FWD,5.8,7.7,4.886461538461538,,neutral
44,Mitchell,CRY,DEF,4.7,4.1,4.7493930269077325,,neutral
45,Adingra,BHA,MID,5.0,1.3,4.741043456543457,,neutral
46,Vicario,TOT,GKP,5.2,8.1,4.734305555555556,,neutral
47,Schär,NEW,DEF,5.3,8.1,4.672791125541125,,neutral
48,Doku,MCI,MID,6.7,5.4,4.668757575757575,,neutral
49,João Pedro,BHA,FWD,5.4,10.5,4.641191919191919,,neutral
50,Ferguson,BHA,FWD,6.0,7.5,4.638988265002971,,neutral
51,Guéhi,CRY,DEF,4.5,4.2,4.487954545454546,,neutral
52,Wilson,NEW,FWD,7.8,3.4,4.451818181818182,,neutral
53,Kudus,WHU,MID,6.7,3.8,4.373246753246753,,neutral
54,Pinnock,BRE,DEF,4.6,4.4,4.341106951871658,,neutral
55,Rashford,MUN,MID,8.5,11.1,4.272794871794871,,neutral
56,Iwobi,FUL,MID,5.3,1.0,4.23543722943723,,neutral
57,Almirón,NEW,MID,6.2,4.2,4.101738986503692,,neutral
58,Areola,WHU,GKP,4.2,34.1,4.096151515151515,,neutral
59,Senesi,BOU,DEF,4.4,2.0,4.082071428571428,,neutral
60,Enzo,CHE,MID,4.8,3.0,4.002087471352177,,neutral
61,Flekken,BRE,GKP,4.5,3.1,3.883591800356507,,neutral
62,Robinson,FUL,DEF,4.4,1.1,3.6928831168831167,,neutral
63,Semenyo,BOU,FWD,4.6,4.0,3.5398739071386127,,neutral
64,Maupay,BRE,FWD,4.9,1.4,3.271233766233766,,neutral
65,Maguire,MUN,DEF,4.3,3.5,3.2590968508615563,,neutral
66,Eze,CRY,MID,6.0,2.8,3.2367943722943724,,neutral
